gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,group
SLCO2B1,4.20E-14,3.271336835,0.843,0.314,1.42E-09,UP
HLA-DMB,2.41E-14,3.267307751,0.886,0.157,8.15E-10,UP
ZNF812,3.90E-09,3.266543192,0.3,0.057,0.000132105,DIFF
LINC00996,2.86E-10,3.261763869,0.343,0.014,9.70E-06,UP
DTX3L,NA,3.261585189,0.343,0.043,NA,NO
FCGR1B,8.66E-19,3.257010618,0.829,0.086,2.93E-14,UP
IDO2,7.19E-11,3.253564271,0.529,0.3,2.44E-06,DIFF
PLK3,1.17E-18,3.252340042,0.871,0.486,3.98E-14,DIFF
COPZ2,3.17E-15,3.246118491,0.514,0.086,1.07E-10,DIFF
ACSM5,1.51E-11,3.243817268,0.343,0.057,5.11E-07,UP
DCN,NA,3.235888264,0.129,0.043,NA,NO
P2RX4,1.10E-18,3.231034214,0.957,0.543,3.74E-14,DIFF
ABI3,5.12E-13,3.228492621,0.714,0.129,1.74E-08,DIFF
BLNK,6.03E-13,3.228298707,0.786,0.229,2.04E-08,UP
PLEKHO2,1.21E-13,3.218216745,0.714,0.143,4.09E-09,DIFF
