"","sample_id","major_type","contam_type","marker_sum","marker_sum_norm","contam_sum","quality_score","Glutamatergic","Astro","Endo","GABAergic","Microglia","Oligo","Peri","SMC","VLMC","QC_pass"
"1206","20190904_sample_5","GABAergic","Vip_on",170.174083948957,0.79283494574481,NA,0.402463776867858,0.0594995371587937,0.0494933951460132,NA,-Inf,0.0524556589007752,-0.00328214162960127,NA,NA,0.00688119077028985,TRUE
"1207","20190904_sample_7","GABAergic","Vip_on",150.379422513095,0.700612328990512,NA,0.199692472735509,-0.0655670138224588,-0.0301960168670938,NA,-Inf,0.384019589122756,0.0296123130215958,NA,NA,-0.0236815550070435,TRUE
"1208","20190905_sample_1","GABAergic","Sst_on",78.0617540586955,0.363686908768283,NA,0.236699673216713,-0.0822063287722927,0.0189812538948727,NA,-Inf,0.0343565712070308,0.0599613730050708,NA,NA,-0.0176340449928166,FALSE
"1209","20190905_sample_3","GABAergic","Sst_on",198.52506293662,0.924921138694367,NA,0.457989539810555,0.164893282532561,0.062807359175794,NA,-Inf,0.0926325051929787,0.0230065880025542,NA,NA,-0.0236201198703453,TRUE
"1210","20190906_sample_1","GABAergic","Lamp5_on",159.203251408965,0.741722230930793,NA,0.372079005737022,0.242146343416304,0.0352727489638798,NA,-Inf,0.145282617728385,0.0021933993323477,NA,NA,0.00211677890295458,TRUE
"1211","20190906_sample_5","Glutamatergic","L6.CT_on",165.210227153739,0.762096011944447,NA,0.424674828364925,-Inf,0.026578810722607,NA,0.0317142818858189,0.03469703581259,0.0299715641601179,NA,NA,0.0199336528570958,TRUE
"1212","20190906_sample_6","GABAergic","Lamp5_on",159.431420649753,0.742785263229501,NA,0.434918122269152,0.034874292548198,0.0942092175654353,NA,-Inf,0.00586273007144147,0.045502273906901,NA,NA,-0.0192887024150687,TRUE
"1213","20190910_sample_1","GABAergic","Lamp5_on",121.791465665043,0.567422064699865,NA,0.322943271684749,-0.0416622588242931,-0.0439753232085844,NA,-Inf,0.028093185204539,-0.0217166579672182,NA,NA,-0.0247120143094353,TRUE
"1214","20190910_sample_2","GABAergic","Vip_on",216.424255548101,1.00831283426686,NA,0.463734383244745,0.0134733950457673,0.104323081611091,NA,Inf,0.0882912392105526,0.000780913139192495,NA,NA,-0.0167856648845578,TRUE
"1215","20190910_sample_3","GABAergic","Vip_on",210.473530997523,0.980588622290991,NA,0.469093302013125,-0.0218636361903312,0.0190927421925248,NA,-Inf,0.039955515329535,0.0710130411112849,NA,NA,-0.0244101959463498,TRUE
"1216","20190910_sample_4","GABAergic","Sncg_on",255.495205656923,1.19034298768915,NA,0.423952308725994,-0.105590562433879,-0.0131366500517573,NA,Inf,0.038851232163287,0.0352644065825286,NA,NA,-0.0253283067419319,TRUE
"1217","20190910_sample_6","GABAergic","Serpinf1_on",138.107248179281,0.643436709493486,NA,0.266253718821305,-0.116544815896727,-0.0400879987814622,NA,-Inf,0.0904373681755648,0.0179075011976226,NA,NA,0.00372864546331175,TRUE
"1218","20190911_sample_3","Glutamatergic","NP_on",155.342562588862,0.716577596155936,NA,0.354454422137811,-Inf,0.0836435918797079,NA,-0.0158670123512722,0.159930934160972,0.0358733988216185,NA,NA,0.0252136529132432,TRUE
"1219","20190911_sample_4","Glutamatergic","L5.IT_on",105.401250497948,0.486203996219288,NA,0.29050955833023,-Inf,0.00179892424352899,NA,-0.0355813085059323,0.060077349474545,-0.0151120118902376,NA,NA,0.0143037381172036,TRUE
"1220","20190911_sample_6","Glutamatergic","L5.IT_on",73.7181530359978,0.340053466450143,NA,0.204432248808508,-Inf,0.0202698681483127,NA,-0.00254818476809446,0.33884158032606,0.0831403804652013,NA,NA,-0.0119760032665597,FALSE
"1221","20190911_sample_7","GABAergic","Sst_on",37.6566390606979,0.175440929040495,NA,0.221487626993873,0.00799994026602087,-0.024599619419249,NA,-Inf,0.00257796302626271,0.074234393054858,NA,NA,-0.0199912210671204,FALSE
"1222","20190911_sample_9","Glutamatergic","L6.CT_on",179.307701869402,0.827126061502438,NA,0.492090679633469,-Inf,0.0222757841576627,NA,0.136886151616394,0.0234323380890232,0.00611107469512052,NA,NA,0.0215215189951655,TRUE
"1223","20190912_sample_1","Glutamatergic","L6.CT_on",125.41124887226,0.578507845822296,NA,0.285054231316698,-Inf,-0.00572692184377117,NA,-0.0210109478262215,0.132353744276901,-0.0297452197602814,NA,NA,-0.0125225105389186,TRUE
"1225","20190912_sample_2","Glutamatergic","L6b_on",174.196095811943,0.803546803376998,NA,0.43771860774367,-Inf,0.0469305515478936,NA,0.083138388219568,0.0191372087163727,0.00765524314904632,NA,NA,0.0282436545798108,TRUE
"1226","20190912_sample_3","Glutamatergic","L6.CT_on",145.698217671201,0.672089328533581,NA,0.483421922503882,-Inf,0.123456904291367,NA,0.0763176869179652,0.0163478163234905,0.011883005792246,NA,NA,0.0126972348888257,TRUE
"1227","20190912_sample_4","GABAergic","Lamp5_on",161.682336419105,0.753272198962941,NA,0.405457130653396,0.0360736667710404,0.00705305730574861,NA,-Inf,0.109328881417913,0.0318234330590992,NA,NA,0.0492004945035598,TRUE
"1228","20190912_sample_6","Glutamatergic","NP_on",125.497535490932,0.578905876193101,NA,0.442336841652564,-Inf,0.0515987482741216,NA,0.0633986397014442,0.0372258507804673,-0.0188596832810844,NA,NA,0.0581120142832075,TRUE
"1229","20190912_sample_8","Glutamatergic","L6.CT_on",181.282906452304,0.836237455883629,NA,0.405303478267074,-Inf,-0.0123422780540096,NA,-0.0201281784356381,0.0452874259625474,-0.00999499653748873,NA,NA,-0.0229679998551981,TRUE
"1224","20190912_sample_10","GABAergic","Pvalb_on",136.518277019805,0.636033749925384,NA,0.393668301819029,-0.0312695126552465,0.0244587096145311,NA,-Inf,0.0269200420331547,0.0193560081133272,NA,NA,0.00545381975539239,TRUE
"1230","20190917_sample_1","Glutamatergic","L6.CT_on",71.1105250274937,0.328024774642423,NA,0.256365955059881,-Inf,-0.0244870776269806,NA,-0.0234588308216796,0.0630286608094057,0.00940824835004274,NA,NA,-0.0196256256017645,FALSE
"1231","20190917_sample_2","GABAergic","Lamp5_on",176.699378304903,0.823236057809658,NA,0.454367226985729,-0.0144464395505263,0.0290372073963301,NA,-Inf,0.0374276974947342,-0.0253885768850401,NA,NA,-0.0229959208855309,TRUE
"1232","20190917_sample_3","Glutamatergic","L5.IT_on",161.866581266446,0.746672153264746,NA,0.243854980903452,-Inf,0.0486013577296352,NA,0.054703048384259,0.737820609864187,0.0425690475926793,NA,NA,-0.00490534315861462,TRUE
"1233","20190919_sample_1","Glutamatergic","L5.PT_on",8.73318249880122,0.0402851788813659,NA,0.159758037616817,-Inf,0.0117366878105204,NA,0.000521160106634707,0.0450127026013227,0.039476242595749,NA,NA,0.0179664724958715,FALSE
"1234","20190919_sample_4","GABAergic","Lamp5_on",184.632395412816,0.860195699621107,NA,0.43856195643949,0.00391441318346562,0.0059971608254373,NA,-Inf,0.008071929543238,0.0081565642496491,NA,NA,0.000533539836316786,TRUE
"1235","20190919_sample_5","Glutamatergic","L6b_on",140.709252401319,0.649075798430695,NA,0.408034501811097,-Inf,0.0126123840081048,NA,0.0896824629367811,0.0203124996034359,0.124663647140628,NA,NA,0.0527272083970669,TRUE
"1236","20190924_sample_1","GABAergic","Sst_on",161.59545560533,0.752867424371669,NA,0.415689177781505,0.216073015305144,0.0018133642979943,NA,-Inf,0.0223487352269103,0.127001925187817,NA,NA,-0.014694695123744,TRUE
"1237","20190924_sample_2","GABAergic","Sst_on",180.660913055973,0.841692705946358,NA,0.305153863981229,0.0153082812585493,-0.0150981632453451,NA,-Inf,0.229002951017068,0.0722077272705199,NA,NA,0.0201676760057981,TRUE
"1238","20190924_sample_3","Glutamatergic","L6.IT_on",200.820802332562,0.926363550306795,NA,0.403718043976841,-Inf,0.130940468830248,NA,0.0541296101855192,0.356231357321949,0.0352481407960617,NA,NA,-0.0100424258658847,TRUE
"1239","20190924_sample_4","GABAergic","Sst_on",134.358230578856,0.625970171129624,NA,0.253870070629156,-0.0165052713293817,-0.00483892178019666,NA,-Inf,0.392587284255349,-0.00516274243542758,NA,NA,0.00983356072708243,TRUE
"1240","20190924_sample_5","GABAergic","Sst_on",167.107940843649,0.778549895129982,NA,0.400099910975551,-0.0348326765739788,-0.0229650150111915,NA,-Inf,0.0276716434303011,0.0643992426794703,NA,NA,-0.00204137036312381,TRUE
"1241","20190924_sample_6","GABAergic","Sst_on",156.617388803656,0.729674789917394,NA,0.411927878643297,0.0714764346010419,0.025969446394524,NA,-Inf,0.0395208949682556,0.0167396272720285,NA,NA,-0.0157101362548811,TRUE
"1242","20190924_sample_7","GABAergic","Pvalb_on",159.592354498018,0.743535048249034,NA,0.423377361662763,0.0253074747826638,0.0511104716000056,NA,-Inf,0.0272935862208281,0.0368363805747407,NA,NA,0.0437911920400036,TRUE
"1243","20190924_sample_8","Glutamatergic","L6.CT_on",114.602038367929,0.528646185563501,NA,0.410803573186489,-Inf,0.023138366068182,NA,0.11764526213144,0.00488403761937866,0.0333323117321149,NA,NA,0.0516807241898469,TRUE
"1244","20190925_sample_2","GABAergic","Pvalb_on",150.96622424806,0.703346217200206,NA,0.387262955721419,0.076676293761792,0.0288652761813068,NA,-Inf,0.0323014868630202,0.00524776499898372,NA,NA,0.0222169415898975,TRUE
"1245","20190925_sample_3","GABAergic","Sst_on",165.833564372858,0.772612620918585,NA,0.438062043493296,0.0586325175779305,0.0135890427319826,NA,-Inf,0.0377510624332671,0.0646962257078278,NA,NA,0.0171443868298895,TRUE
"1246","20190925_sample_4","Glutamatergic","L6b_on",57.6085018220561,0.265741475264898,NA,0.253466085961512,-Inf,0.00910755874360682,NA,0.0377420331935798,0,0.00111680253799835,NA,NA,-0.0135153384292309,FALSE
"1247","20190925_sample_5","GABAergic","Sst_on",172.191170239958,0.802232478336011,NA,0.384131204163244,0.064960856091495,0.170677550446506,NA,-Inf,0.209552416804992,0.0937841402458025,NA,NA,0.0286472386594834,TRUE
"1248","20190925_sample_6","GABAergic","Pvalb_on",165.660379663493,0.771805759577147,NA,0.430915298741303,0.106473226911225,0.222219518254582,NA,-Inf,0.212866513301979,0.0515176067382921,NA,NA,0.048770079190796,TRUE
