"","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"1964","BRCC3",1.15160169541505e-10,-4.63901898477073,0.143,0.714,3.90185686440527e-06
"1965","MYO9B",1.22370942723326e-10,1.66557519036856,0.871,0.943,4.14617228135173e-06
"1966","IFNGR2",1.26501596711631e-10,3.72093051390536,0.529,0.514,4.28612709978347e-06
"1967","STAG1",1.37893783119194e-10,1.28146465920696,0.971,1,4.67211715964451e-06
"1968","CEP70",1.38059973457431e-10,-3.50460636256765,0.314,0.929,4.67774802068466e-06
"1969","ZNF470",1.39117123534039e-10,-4.47264249236384,0.143,0.371,4.7135663795803e-06
"1970","LINC01500",1.41015597481376e-10,-4.3742623788588,0.529,0.643,4.77789047386399e-06
"1971","DMPK",1.41913414178602e-10,-3.4594316186373,0.071,0.743,4.8083102991994e-06
"1972","SGPP2",1.42056531626119e-10,-5.11116869329716,0.186,0.686,4.81315940455618e-06
"1973","CD160",1.42637814012136e-10,-4.35569883154261,0.086,0.4,4.83285441435919e-06
"1974","TLE2",1.43968719334739e-10,-3.12553088208386,0.4,0.686,4.87794814849963e-06
"1975","SLC30A4",1.45925093195058e-10,-4.04155248944451,0.1,0.429,4.94423400763497e-06
"1976","MARCKS",1.47128905559334e-10,3.36268907926442,0.543,0.514,4.98502157816136e-06
"1977","DPYSL4",1.67169330041957e-10,-4.41857548911345,0,0.414,5.66403124048158e-06
"1978","SH3BGRL2",1.69820398753453e-10,-4.62215496119303,0.071,0.843,5.7538547505645e-06
"1979","SNAP25",1.7517631929231e-10,-4.02544744600011,0.386,1,5.93532405026205e-06
"1980","RAB37",1.79806878390658e-10,-3.86294724802092,0.329,0.486,6.09221665363229e-06
"1981","CCDC13",1.83863109875398e-10,-4.27331815066274,0.1,0.414,6.22964988879825e-06
"1982","ADAMTSL2",1.89203042049322e-10,4.02625081200607,0.557,0.329,6.41057747071514e-06
"1983","PGPEP1L",1.89970834250174e-10,-4.45859064219793,0.1,0.4,6.4365918060644e-06
"1984","SH2B3",1.90181505169517e-10,3.41972339959469,0.543,0.557,6.44372975815357e-06
"1985","DGAT1",1.97013056705832e-10,-4.41855541138745,0.057,0.514,6.67519638730699e-06
"1986","PLA2G4A",2.00593526717725e-10,3.01379952985465,0.629,0.714,6.79650987224997e-06
"1987","SNORD114-3",2.06058993876679e-10,-4.07324898203064,0.029,0.414,6.98169083052964e-06
"1988","PSMA1",2.11518739979074e-10,2.40398629867591,0.757,0.829,7.16667794797097e-06
"1989","ASIP",2.1417929068753e-10,0.579996247827806,0.9,0.643,7.2568227270749e-06
"1990","FAR2",2.26706814217835e-10,2.2887258554437,0.743,0.871,7.6812802793287e-06
"1991","GPR173",2.27671246300581e-10,-3.93657461985837,0.086,0.529,7.71395716715628e-06
"1992","TBC1D5",2.32663753926944e-10,1.06184997532047,0.957,1,7.88311331055271e-06
"1993","LINGO1",2.37219474653269e-10,-4.25783014083127,0.1,0.943,8.03747024020205e-06
"1994","SNAP25-AS1",2.38495192213035e-10,-4.02229307941499,0.514,0.8,8.08069410256204e-06
"1995","GRB2",2.44684391415039e-10,1.8933332296359,0.786,0.871,8.29039654992435e-06
"1996","DEF6",2.46308887815871e-10,5.59555314597326,0.286,0.1,8.34543773697735e-06
"1997","ENC1",2.4807705556537e-10,-4.9170277471531,0.114,0.986,8.40534679666586e-06
