"","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"324","Got1",0,-4.31527524062423,0.309,0.995,0
"325","Gpm6a",0,-7.54236235650294,0.551,1,0
"326","Gpr158",0,-6.81958785598803,0.236,0.939,0
"327","Gpr22",0,-7.6244371236056,0.045,0.835,0
"328","Gpr83",0,-6.76919290157024,0.006,0.499,0
"329","Gprasp1",0,-3.81433196292975,0.303,0.998,0
"330","Gprasp2",0,-5.19787737245859,0.084,0.988,0
"331","Gria1",0,-7.70213721491714,0.236,0.989,0
"332","Gria2",0,-9.46820941981549,0.315,1,0
"333","Gria3",0,-8.0128614081216,0.191,0.87,0
"334","Gria4",0,-8.95334444736827,0.343,0.995,0
"335","Grik1",0,-8.49490329577316,0.253,0.887,0
"336","Grik2",0,-9.16982854711019,0.382,0.992,0
"337","Grin1",0,-6.89184487476629,0.213,0.988,0
"338","Grin2b",0,-6.75012009569238,0.331,1,0
"339","Grip1",0,-8.81591135388783,0.354,0.996,0
"340","Grm5",0,-7.04917834178786,0.36,0.987,0
"341","Grm7",0,-7.78153372254268,0.433,0.881,0
"342","Gstm5",0,-4.18509248651122,0.326,0.991,0
"343","Gucy1b3",0,-6.41602793658911,0.062,0.869,0
"344","Guk1",0,-3.57990420092932,0.247,0.989,0
"345","H3f3b",0,1.82357545354984,1,1,0
"346","Habp4",0,-4.03399525741856,0.152,0.979,0
"347","Hcn1",0,-8.64727546758656,0.275,0.939,0
"348","Hexb",0,7.63662124756138,0.989,0.98,0
"349","Hid1",0,-6.75928068250156,0.028,0.866,0
"350","Higd1a",0,-2.86134380508326,0.483,0.998,0
"351","Hint1",0,-2.15301737976046,0.747,1,0
"352","Hmgcll1",0,-7.18602637208918,0.028,0.838,0
"353","Hmgn3",0,-4.93119799578513,0.135,0.994,0
"354","Hpca",0,-6.6661992639449,0.146,0.929,0
"355","Hsp90aa1",0,-3.62022530013203,0.742,1,0
"356","Hspa8",0,-2.03853381120859,0.966,1,0
"357","Idh3a",0,-3.95824002421388,0.27,0.996,0
"358","Idh3b",0,-3.34594693028894,0.365,0.999,0
"359","Igsf8",0,-3.79712350941216,0.18,0.992,0
"360","Il1rapl1",0,-7.43371441426242,0.691,0.985,0
"361","Impact",0,-2.71998583801438,0.64,1,0
"362","Ina",0,-7.04847232883665,0.073,0.888,0
"363","Inpp5f",0,-3.54719979066626,0.292,0.995,0
"364","Ipw",0,-6.58871453230587,0.073,0.881,0
"365","Irak1bp1",0,-6.30890447964134,0.022,0.889,0
"366","Itgam",0,8.54845485772356,0.826,0.324,0
"367","Itm2b",0,1.58063679984092,1,1,0
"368","Jakmip2",0,-6.29020918118592,0.612,0.966,0
"369","Kalrn",0,-5.10695771901793,0.702,0.969,0
"370","Kcna1",0,-7.19086741998255,0.034,0.787,0
"371","Kcna2",0,-7.42642632539855,0.056,0.912,0
"372","Kcna4",0,-4.7192343233203,0,0.324,0
"373","Kcnab1",0,-7.34926834683268,0.124,0.869,0
"374","Kcnc1",0,-7.93972786224589,0.039,0.98,0
"375","Kcnd2",0,-7.05753333964939,0.303,0.959,0
"376","Kcnip1",0,-8.85217671369972,0.135,0.969,0
"377","Kcnip4",0,-8.34994973440889,0.669,0.943,0
"378","Kcnj3",0,-7.72957406200742,0.146,0.939,0
"379","Kcnk1",0,-7.7765445480712,0.079,0.925,0
"380","Kcnmb2",0,-7.85747635427764,0.084,0.903,0
"381","Kcnn2",0,-7.59697747390721,0.124,0.858,0
"382","Kcnq5",0,-8.14478054295613,0.41,0.841,0
"383","Kcns2",0,-5.12866874281461,0,0.328,0
"384","Kctd16",0,-6.09060814333115,0.18,0.939,0
"385","Kctd17",0,-5.71157241682546,0.034,0.933,0
"386","Kif1a",0,-6.25528094624738,0.208,0.998,0
"387","Kif21a",0,-6.20939159073272,0.326,0.994,0
"388","Kif3a",0,-3.79781600608265,0.303,0.993,0
"389","Kif5c",0,-6.02784390339076,0.146,0.994,0
"390","Kifap3",0,-4.32198487039827,0.32,0.999,0
"391","Klc1",0,-3.94386610589966,0.416,1,0
"392","LOC105242387",0,-6.75910539408731,0.084,0.866,0
"393","LOC105242595",0,-4.13291513315822,0,0.242,0
"394","LOC105242947",0,-4.47932330299728,0,0.304,0
"395","LOC105243715",0,-6.94029437941081,0.096,0.853,0
"396","Lancl1",0,-3.6301063653077,0.393,0.999,0
"397","Lancl3",0,-4.72753869452369,0,0.344,0
"398","Ldoc1",0,-4.30050663465825,0,0.199,0
"399","Lgi1",0,-7.42965438120316,0.045,0.904,0
"400","Lgi2",0,-6.99495509403814,0.028,0.85,0
"401","Lgmn",0,4.0799508215855,1,0.953,0
"402","Limch1",0,-7.82227438453803,0.197,0.984,0
"403","Lin7b",0,-7.05759733585769,0.051,0.923,0
"404","Lonrf2",0,-7.40103260338404,0.045,0.982,0
"405","Lpcat4",0,-6.8247301369108,0.034,0.869,0
"406","Lphn1",0,-4.43689367367105,0.129,0.991,0
"407","Lphn3",0,-7.78374358829725,0.416,0.993,0
"408","Lppr2",0,-6.25594834539244,0.107,0.882,0
"409","Lppr4",0,-5.05324062837336,0.112,0.99,0
"410","Lppr5",0,-8.0317966772955,0.073,0.965,0
"411","Lrfn5",0,-7.94820061016799,0.326,0.96,0
"412","Lrp11",0,-6.81236399773927,0.163,0.927,0
"413","Lrp1b",0,-8.21994511485007,0.702,0.951,0
"414","Lrrc3b",0,-6.97970217409809,0.034,0.804,0
"415","Lrrc4c",0,-7.28320575800966,0.837,0.974,0
"416","Lrrc7",0,-7.60170131536881,0.208,0.967,0
"417","Lrrc8b",0,-5.65040942322743,0.124,0.942,0
"418","Lrrtm4",0,-9.03892620626133,0.382,0.939,0
"419","Lsamp",0,-6.75780374463406,0.444,0.991,0
"420","Lurap1l",0,-7.46627553118534,0.09,0.925,0
"421","Ly6e",0,3.25555391195793,0.989,0.97,0
"422","Ly6h",0,-7.93856943474901,0.073,0.999,0
"423","Lyn",0,9.25090136559644,0.949,0.337,0
"424","Lysmd2",0,-7.30470709808884,0.056,0.983,0
"425","Macrod2",0,-6.33696585963221,0.59,0.996,0
"426","Maged1",0,-3.54565389601635,0.371,1,0
"427","Magee1",0,-5.52355733535055,0.051,0.97,0
"428","Mageh1",0,-6.6512721521878,0.045,0.908,0
"429","Magi2",0,-4.92549948550343,0.685,0.997,0
"430","Mal2",0,-6.94354467628902,0.174,0.944,0
"431","Map1a",0,-6.67227077736488,0.073,0.936,0
"432","Map1b",0,-7.71621448654523,0.393,0.998,0
"433","Map1lc3a",0,-2.70684073783361,0.584,1,0
"434","Map2",0,-6.61333986288995,0.264,0.999,0
"435","Map7d2",0,-6.97282920093938,0.292,0.995,0
"436","Map9",0,-5.99850411495334,0.067,0.944,0
"437","Mapk10",0,-9.12657748989452,0.225,0.996,0
"438","Mapk8ip2",0,-6.74531612908321,0.034,0.864,0
"439","Mapre3",0,-3.93308334852814,0.213,0.998,0
"440","Mapt",0,-6.60592584628197,0.242,0.999,0
"441","Mdga2",0,-7.13371074827617,0.534,0.996,0
"442","Mdh1",0,-4.07323158123954,0.854,1,0
"443","Mdh2",0,-2.88705445684859,0.601,1,0
