gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,color
Ramp2,0.168442158,-0.119018444,0.286,0.18,1,NO
Rnf170-ps,0.112086501,-0.119024103,0.083,0.124,1,NO
Rtn4ip1,0.112974272,-0.119105127,0.333,0.288,1,NO
Cyld,0.002005407,-0.119145406,0.86,0.786,1,NO
Rpl23a-ps2,0.159436974,-0.11916448,0.173,0.14,1,NO
Tbc1d25,0.047903833,-0.119190171,0.439,0.369,1,NO
Fam124a,0.055450713,-0.119266604,0.536,0.466,1,NO
Xrcc1,0.041778988,-0.11931721,0.597,0.466,1,NO
Siah1a,0.005746246,-0.119382884,0.73,0.59,1,NO
Bptf,3.48E-05,-0.11941682,0.966,0.914,1,NO
Zc3h11a,4.41E-06,-0.119519283,0.946,0.896,0.177300082,NO
Rcbtb1,0.010346106,-0.119544192,0.631,0.523,1,NO
Paxip1,0.012689313,-0.119557671,0.613,0.516,1,NO
Vps4a,3.73E-05,-0.119605286,0.849,0.721,1,NO
Rrp1,3.61E-08,-0.119636806,0.995,0.953,0.001449985,NO
Ksr1,0.000731923,-0.119742296,0.768,0.671,1,NO
Gm12335,0.124882725,-0.119894124,0.104,0.077,1,NO
Vps11,0.013139496,-0.120010104,0.748,0.586,1,NO
Mrps27,0.017517506,-0.120264895,0.538,0.446,1,NO
Rnf169,0.000471457,-0.12029209,0.876,0.748,1,NO
1700030F04Rik,0.066080879,-0.120294234,0.106,0.133,1,NO
Asxl1,3.51E-05,-0.120311552,0.887,0.811,1,NO
Gm31404,0.19504522,-0.120385541,0.099,0.115,1,NO
Actr3b,0.00051168,-0.120452827,0.845,0.68,1,NO
Gpkow,0.008848937,-0.120624667,0.696,0.601,1,NO
Nup50,0.0585653,-0.120677343,0.673,0.507,1,NO
Bloc1s4,0.021209216,-0.120739212,0.541,0.392,1,NO
Flna,0.005131186,-0.120765022,0.68,0.538,1,NO
Scamp4,0.03308504,-0.120813905,0.631,0.498,1,NO
Kcnmb4os2,0.125423326,-0.121046281,0.115,0.106,1,NO
Scarna2,0.021002021,-0.121071234,0.171,0.169,1,NO
Mpi,0.039656441,-0.121103687,0.635,0.464,1,NO
Fbxl14,0.014425476,-0.121136438,0.36,0.25,1,NO
Cdk12,5.40E-06,-0.121136698,0.944,0.851,0.21722751,NO
Sik3,8.14E-07,-0.12117697,0.959,0.941,0.032751065,NO
Abcf2,0.015208715,-0.121264548,0.716,0.554,1,NO
Dopey2,0.001059676,-0.121280276,0.854,0.773,1,NO
Ammecr1l,0.002817767,-0.121313557,0.793,0.696,1,NO
Hsf4,0.216892354,-0.121368181,0.327,0.327,1,NO
Thoc7,5.80E-06,-0.121602425,0.903,0.815,0.233371518,NO
Vat1,0.05234907,-0.121715908,0.468,0.43,1,NO
Samm50,8.69E-05,-0.12172296,0.804,0.698,1,NO
Orc2,0.001989157,-0.121816156,0.858,0.786,1,NO
Gm6123,0.003777184,-0.121883105,0.351,0.378,1,NO
Nenf,0.000126407,-0.121896795,0.905,0.755,1,NO
