"","sample_id","major_type","contam_type","marker_sum","marker_sum_norm","contam_sum","quality_score","Glutamatergic","Astrocyte","Endothelial","GABAergic","Microglia","Oligo.OPC"
"151","SM-GE5VJ_S038_E1-50","Glutamatergic","Superficial.Layers_on",170.035780399476,0.777014631486146,NA,0.306261981304585,-Inf,0.0612857966072623,NA,0.195800728996347,0.867884441634496,0.0561049058799388
"152","SM-GE5VJ_S039_E1-50","Glutamatergic","Superficial.Layers_on",192.801559950624,0.881047698919782,NA,0.392282589338191,-Inf,0.047350280239884,NA,-0.0624551861260271,0.274454293848087,0.0384603982225953
"153","SM-GE5VJ_S040_E1-50","Glutamatergic","Superficial.Layers_on",225.31976997045,1.02964656979145,NA,0.473632405633533,Inf,0.186042600762664,NA,0.00358781264169823,0.159454214510488,-0.000323632404264662
"154","SM-GE5VJ_S047_E1-50","Glutamatergic","Superficial.Layers_on",201.383903683147,0.920266542371127,NA,0.446386920755034,-Inf,0.0294598613583614,NA,0.0179217632118734,0.0999746466846189,0.0012729946144134
"155","SM-GE5VJ_S050_E1-50","Glutamatergic","Deep.Layers_on",212.892832285747,0.972859037291547,NA,0.479470381816998,-Inf,0.0682051024203162,NA,0.0293628811231292,0.0899794991078774,0.0491039808494667
"156","SM-GE5VJ_S052_E1-50","Glutamatergic","Deep.Layers_on",155.808194611817,0.711998654838387,NA,0.404410755281222,-Inf,0.0523190929105632,NA,-0.0732793556872181,0.0834862855789343,0.1073244674719
"157","SM-GE5VJ_S061_E1-50","Glutamatergic","Superficial.Layers_on",187.658887973113,0.857547166490244,NA,0.482998057460668,-Inf,0.000536916957480585,NA,-0.115883696141424,0.0680113765790741,-0.00288836578868577
"158","SM-GE5VJ_S068_E1-50","Glutamatergic","Superficial.Layers_on",221.401467304671,1.01174105311285,NA,0.425561846130273,Inf,0.0522204305900684,NA,-0.0197211668484219,0.151997250081339,0.00396881784838861
"159","SM-GE5VJ_S069_E1-50","Glutamatergic","Superficial.Layers_on",95.4937147665792,0.436378822235377,NA,0.355202457778396,-Inf,0.00896307323137892,NA,-0.0438363473146444,0.0682831219040686,-0.0289432881257242
"160","SM-GE5VJ_S071_E1-50","Glutamatergic","Superficial.Layers_on",214.552046129506,0.980441167536937,NA,0.459512855551505,-Inf,-0.0092920959423916,NA,-0.06102516069405,0.240788057683751,0.0375195284947858
"161","SM-GE5VJ_S073_E1-50","Glutamatergic","Superficial.Layers_on",199.038690233001,0.909549591148035,NA,0.428480926418228,-Inf,0.205159539801359,NA,0.124831574176774,0.191322030965727,0.0720540698382486
"162","SM-GE5VJ_S074_E1-50","Glutamatergic","Deep.Layers_on",170.217395851109,0.777844561886036,NA,0.497601443477276,-Inf,0.0813982420901617,NA,0.0199511964129588,0.0354169658550287,0.0236729697587232
"163","SM-GE5VJ_S078_E1-50","Glutamatergic","Superficial.Layers_on",185.371883109393,0.84709621177227,NA,0.309245846477525,-Inf,0.115949426938557,NA,0.0255636250230357,0.553307935892118,-0.0233368278655158
"164","SM-GE5VJ_S087_E1-50","Glutamatergic","Deep.Layers_on",165.820955871011,0.7577540951445,NA,0.424612341360428,-Inf,0.10380929545517,NA,-0.0185081337174533,0.0750374685997013,-0.0187208808164186
"165","SM-GE5VJ_S095_E1-50","Glutamatergic","Superficial.Layers_on",167.738565412723,0.766517019441297,NA,0.473683639103695,-Inf,0.015398551761444,NA,0.0564140336032173,0,0.0890892381405406
"166","SM-GE652_S158_E1-50","Glutamatergic","Deep.Layers_on",187.919064986427,0.858736100640729,NA,0.423660795024696,-Inf,0.0224595453803126,NA,0.0555450385608753,0.274262462098978,0.00391525879356615
"167","SM-GE652_S160_E1-50","Glutamatergic","Superficial.Layers_on",117.390607174201,0.536441325226381,NA,0.228383845831291,-Inf,0.0236790301225121,NA,-0.0261611094924957,0.533583671949744,0.0351338183489552
"168","SM-GE652_S168_E1-50","Glutamatergic","Superficial.Layers_on",108.719084628726,0.496814960238572,NA,0.134372984350615,-Inf,0.0351289479199251,NA,-0.0491920949594887,0.84922990859302,-0.0330407159236249
"169","SM-GE65O_S089_E1-50","Glutamatergic","Superficial.Layers_on",181.819105855344,0.830861041137467,NA,0.368661090292573,-Inf,0.0448545693027391,NA,-0.0533946844730843,0.361841770214366,-0.0328671549224557
"170","SM-GE672_S037_E1-50","Glutamatergic","Superficial.Layers_on",116.418518052211,0.531999157412524,NA,0.077071202134712,-Inf,0.198166853753907,NA,-0.0660749806780397,0.675187462048512,-0.000757467959208367
"171","SM-GE672_S039_E1-50","Glutamatergic","Superficial.Layers_on",141.257661657665,0.645506902486407,NA,0.221911172401116,-Inf,0.00502413397637987,NA,-0.0178239030638637,0.376954500570365,0.000727818371708229
"172","SM-GE672_S040_E1-50","Glutamatergic","Superficial.Layers_on",127.46131601071,0.582461569301012,NA,0.326874016878281,-Inf,-0.00105841625801356,NA,-0.00179077550057297,0.0434126357251282,-0.0145226982113901
"173","SM-GE672_S079_E1-50","Glutamatergic","Superficial.Layers_on",150.577541821718,0.688096075389625,NA,0.257544098069128,-Inf,0.0884984624886856,NA,0.0734415933685898,0.689951481614021,0.125027769409776
"174","SM-GE672_S091_E1-50","Glutamatergic","Superficial.Layers_on",162.754753226148,0.743742430584473,NA,0.395203620910336,-Inf,0.0684618713201929,NA,-0.0156368614958031,0.061211208756994,-0.0199940914044049
"175","SM-GE8WI_S142_E1-50","Glutamatergic","Superficial.Layers_on",206.086600107364,0.941756513014181,NA,0.453561599305184,-Inf,0.0904356844917561,NA,0.123644840702327,0.372566791966711,0.0971709589565916
"176","SM-GE8WI_S143_E1-50","Glutamatergic","Superficial.Layers_on",195.004541546905,0.891114691462079,NA,0.329973511188885,-Inf,0.284303099072388,NA,0.220366587897969,0.830120393383727,0.155533541302425
"177","SM-GE8WI_S144_E1-50","Glutamatergic","Superficial.Layers_on",184.775168684426,0.844369398404347,NA,0.400576029751721,-Inf,0.239144282592091,NA,0.0618261616881905,0.396328009882624,0.0170367996959952
"178","SM-GE8WI_S145_E1-50","Glutamatergic","Superficial.Layers_on",194.468167782369,0.888663617564513,NA,0.411856478331881,-Inf,0.205735291949606,NA,0.33764896114683,0.628782642656836,0.0670724299606041
"179","SM-GE8WI_S149_E1-50","Glutamatergic","Superficial.Layers_on",104.232034248614,0.476310430019277,NA,0.149623076773542,-Inf,0.0545032132570955,NA,-0.0321683551302442,0.659199030258668,-0.0264043235512764
"180","SM-GE8WI_S150_E1-50","Glutamatergic","Deep.Layers_on",163.823283428971,0.748625306411123,NA,0.262956829345694,-Inf,0.159629648557582,NA,0.105406922194692,0.296457715209896,0.0122105363813847
