ephys_session_id,adapt,avg_rate,first_isi,isi_cv,latency,mean_isi,median_isi,stim_amp,threshold_v,peak_v,trough_v,fast_trough_v,slow_trough_v,adp_v,width,upstroke_downstroke_ratio,peak_t,fast_trough_t,trough_t,slow_trough_t,rheo_first_isi,v_baseline,rheobase_i,fi_fit_slope,sag,vm_for_sag,input_resistance,tau
770254746,0.33840175,6.000120002,0.0086,0.751086444,0.0638,0.161176,0.23808,119.9999924,-34.16875458,55.23750305,-42.38124847,-42.35000229,,,0.00094,1.482978472,0.69638,0.69878,0.69874,,0.017,-60.06331177,80,0.12414042,0.12911357,-73.92499542,118.5157374,0.027163159
541557101,,2.000040001,0.01274,0,0.08512,0.01274,0.01274,260,-40.81250381,42.1875,-56.12500381,-48.75000381,,,0.00082,1.239497946,0.66374,0.66566,0.76868,,,-70.44188831,220,0.021536952,0.043155834,-77.59375,52.99479142,0.021539796
677099014,,1.00002,,,0.04858,,,150,-49.9375,40.81250381,-62.87500381,-57.87500381,,,0.0007,1.114488248,0.56986,0.57152,0.63012,,,-73.20829337,119.9999924,0.083668339,0.244968429,-83.40625763,92.50003844,0.014719412
680581009,,1.000005,,,0.13824,,,150,-37.84375381,40.31250381,-52.09375,-50.5,,,0.000835,1.014312798,0.63949,0.6417,0.68026,,,-76.7431427,150,0.118750594,0.028626638,-89.90625,106.4063981,0.015340166
770401953,0.080568,7.000140003,0.07492,0.242508395,0.03972,0.148613333,0.16387,130,-39.46875,51.39999771,-56.00625229,-53.20624924,,,0.00098,1.279681933,0.64232,0.64484,0.6903,,,-67.29700947,90,0.1400028,0.133177206,-77.84999847,140.9374177,0.018174574
770658533,0.030242947,10.0002,0.06576,0.130255839,0.0744,0.092586667,0.09564,140,-40.75,43.02499771,-58.40625381,-54.26875305,,,0.00084,1.139832311,0.85416,0.85638,0.8964,,,-84.48089695,100,0.210004188,0.003844521,-94.90625763,135.1564378,0.014436849
732113347,0.326339986,6.000120002,0.0076,0.732499163,0.07666,0.152312,0.23294,170,-33.21875381,49.50000381,-43.81250381,-43.78125,,,0.00098,1.364380388,0.69758,0.6998,0.69974,,0.00892,-66.59461403,130,0.077218937,0.062045522,-77.34375763,92.34374762,0.023054039
666155743,,2.000040001,0.06838,0,0.04128,0.06838,0.06838,140,-38.50000381,43.9375,-50.43750381,-48.93750381,,,0.0011,1.379647118,0.59842,0.60158,0.6465,,,-65.60210037,100,0.091843942,0.043733895,-75.56250763,132.8125,0.02009891
716918793,0.046165617,8.000160003,0.0823,0.1572399,0.10112,0.126942857,0.13584,119.9999924,-33.8125,40.25000381,-51.375,-48.46875381,,,0.00098,1.246475322,0.87744,0.88048,0.93942,,,-74.42041931,80,0.108573609,0.022700889,-92.5,148.5937089,0.026628215
770466500,0.06219128,6.000120002,0.1018,0.169964802,0.1025,0.152676,0.16816,220,-37.82500458,46.41875076,-52.36874771,-47.93125153,,,0.00102,1.497995544,0.81082,0.81356,0.8753,,,-79.12970066,180,0.115002328,0.006908596,-85.71250916,80.31272143,0.018660239
